num_evaluations,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
621,,949.9953188808383,603.3514360627197,608.6936254893058,596.2940611533033,,,,,,,,
623,,946.8696169483544,603.3449066759367,608.6512368460221,596.154154235484,,,,,,,,
627,598.5065534411251,,,,,,,,,,,,
630,,935.9296601846595,603.3033132670239,608.5028765945298,595.6644800231162,,,,,,,,
632,,932.8039582521758,603.2914294359058,608.4532867846619,595.5245731052969,,,,,,,,
634,,929.6782563196913,603.2795456047878,608.4036969747934,595.4096187926572,,,,,,,,
638,598.4633710592972,,,,,,,,,,,,
640,,920.301150522239,603.2535036405112,608.2549275451892,595.0647558547381,,,,,,,,
641,,919.0092252477608,603.249163313132,608.2301326402551,595.0072786984181,,,,,,,,
643,,916.4253746988045,603.2404826583733,608.2017091986503,594.8923243857785,,,,,,,,
645,,913.8415241498483,603.2318020036146,608.1732857570455,594.8022762075111,,,,,,,,
649,598.4052029576244,,,,,,,,,,,,
652,,904.7980472285016,603.2153953789106,608.073803711429,594.4871075835748,,,,,,,,
654,,902.214196679545,603.2107077718523,608.0560751934577,594.3970594053073,,,,,,,,
656,,899.6303461305887,603.206020164794,608.0383466754869,594.2951944530931,,,,,,,,
660,598.3920759772675,,,,,,,,,,,,
663,,890.586869209242,603.1860924071151,607.9762968625884,593.9386671203442,,,,,,,,
665,,888.0030186602858,603.180398762064,607.939859729671,593.8368021681302,,,,,,,,
667,,885.4191681113294,603.1747051170125,607.9034225967537,593.7334235529744,,,,,,,,
671,598.3820432321403,,,,,,,,,,,,
674,,876.3756911899827,603.1638847105409,607.7758926315425,593.371598399929,,,,,,,,
676,,873.7918406410265,603.1607931658345,607.7332296240374,593.2682197847734,,,,,,,,
678,,871.2079900920703,603.1577016211284,607.6905666165327,593.2172425680242,,,,,,,,
680,,868.6241395431138,603.1554575229436,607.6479036090275,593.1662653512751,,,,,,,,
682,598.3723046847853,,,,,,,,,,,,
685,,861.8295859725727,603.1498472774813,607.5412460902648,593.0388223094026,,,,,,,,
