,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
6557,,298886692.0944965,3786.1654314608995,4495.3798809603,160076.78745071523,,,,,,,,
6561,,298708905.2879113,3782.13792986636,4486.304604088428,157127.4429994945,,,,,,,,
6565,3459.6207512937835,,,,,,,,,,,,
6638,,295286509.261147,3684.520022641581,4311.605524304866,100352.56231349362,,,,,,,,
6658,,294397575.2282212,3659.164722063715,4266.229139945498,91416.03226446953,,,,,,,,
6662,,294219788.42163604,3654.093661948143,4258.957296607503,89628.72625466468,,,,,,,,
6666,3364.711288582359,,,,,,,,,,,,
6739,,290797392.39487183,3558.5858919613297,4118.974312351089,55223.08556592181,,,,,,,,
6759,,289908458.36194605,3533.7786789777433,4082.6150956611095,51226.14042427576,,,,,,,,
6763,,289730671.55536085,3528.817236381024,4076.9894885418103,50426.75139594656,,,,,,,,
6767,3291.5667037867697,,,,,,,,,,,,
6800,,288086143.59444815,3474.8136656769384,4024.95262268828,43032.40288390135,,,,,,,,
6840,,287232333.1557946,3416.431427077924,3968.6965514952713,35038.512600609225,,,,,,,,
6860,,286805427.9364679,3387.240307778418,3940.5685158987685,32292.939436622444,,,,,,,,
6864,,286720046.89260256,3381.402083918515,3934.98844580325,31743.82480382509,,,,,,,,
6868,3235.4828698890674,,,,,,,,,,,,
6941,,285076461.7981945,3283.8921329059003,3827.572096464517,21173.368122475975,,,,,,,,
6961,,284649556.57886773,3258.5648729026234,3799.671745986923,20159.131697031775,,,,,,,,
6965,,284564175.5350024,3253.49942090197,3794.240062512794,19956.284411942932,,,,,,,,
6969,3182.1201981322206,,,,,,,,,,,,
7042,,282920590.4405944,3178.101066673934,3689.6801556358014,16051.474173982779,,,,,,,,
7062,,282493685.22126764,3158.5170785627565,3662.5217382651545,15347.415992494283,,,,,,,,
7066,,282408304.17740226,3154.60028094052,3657.622521819126,15206.60435619659,,,,,,,,
7070,3132.4595529076055,,,,,,,,,,,,
7143,,280764719.0829943,3089.876119672296,3563.3126052330917,12495.98035746589,,,,,,,,
7163,,280337813.8636675,3073.0646492130168,3538.8165230029526,12141.06102065406,,,,,,,,
7167,,280252432.8198021,3069.702355121162,3534.459970039468,12070.077153291688,,,,,,,,
7171,3092.1919519380417,,,,,,,,,,,,
7200,,279548039.207913,3048.3008881898572,3498.5184080907256,11484.460247552157,,,,,,,,
7244,,279409577.9125576,3019.7655989481173,3450.596325492402,10703.637706566118,,,,,,,,
7264,,279346640.9601233,3006.7950129291457,3428.813560674983,10379.67442897381,,,,,,,,
7268,,279334053.56963646,3004.20089572535,3425.6402204167903,10314.88177345535,,,,,,,,
7272,3056.0391360875988,,,,,,,,,,,,
7345,,279091746.3027645,2951.826053196356,3364.5534204465807,9067.62315472498,,,,,,,,
7365,,279028809.3503302,2938.2221979940186,3348.6867191556175,8826.641132974291,,,,,,,,
7369,,279016221.95984334,2935.5014269535523,3346.0528464846166,8778.44472862415,,,,,,,,
7373,3016.0716748909217,,,,,,,,,,,,
7446,,278773914.6929714,2902.980082274186,3295.350797567838,7850.663944883988,,,,,,,,
7466,,278710977.74053717,2894.532979760065,3282.181434212833,7669.6756875932015,,,,,,,,
7470,,278698390.3500502,2892.8435592572414,3280.1541335503293,7633.478036135046,,,,,,,,
7474,2975.1960522040067,,,,,,,,,,,,
7547,,278456083.0831783,2857.3278662874495,3241.1285957971186,6936.673245565509,,,,,,,,
7567,,278393146.13074404,2848.1030109706207,3230.9920924845965,6802.802980307108,,,,,,,,
7571,,278380558.7402572,2846.2580399072544,3228.9329808169505,6776.028927255431,,,,,,,,
7575,2940.78405982401,,,,,,,,,,,,
7600,,278289300.1592275,2833.468442103237,3214.004421226506,6581.917042630757,278289300.1592275,,,,,,,
7648,,277306124.0192418,2812.299452634519,3189.2950812147374,6260.628406010605,235585219.9991743,,,,,,,
7668,,276896467.2942478,2803.4790403558854,3178.999522876499,6176.123782205479,217791853.26581886,,,,,,,
7672,,276814535.94924897,2801.714957900159,3176.8187186287555,6159.222857444459,214233179.9191478,,,,,,,
7676,2905.3258459459043,,,,,,,,,,,,
